year,age,event,category1,category2,Name,Career/Personal Life
1917,39,"After Vladimir Lenin's Bolshevik faction seized power in the October Revolution and created a one-party state under the Communist Party of the Soviet Union in 1917, Joseph Stalin joined the Communist Party of the Soviet Union's governing Politburo.",summary,,Joseph Stalin,Career
1934,56,"To eradicate accused ""enemies of the working class"", Joseph Stalin instituted the Great Purge, in which over a million were imprisoned, largely in the Gulag system of forced labour camps, and at least 700,000 executed between 1934 and 1939.",summary,,Joseph Stalin,Personal Life
1953,75,"After Joseph Stalin's death in 1953, Joseph Stalin was eventually succeeded by Nikita Khrushchev, who subsequently denounced his rule and initiated the de-Stalinisation of Soviet society.",summary,,Joseph Stalin,Personal Life
1991,113,"Since the dissolution of the Soviet Union in 1991, Joseph Stalin has retained popularity in Russia and Georgia as a victorious wartime leader who cemented the Soviet Union's status as a leading world power.",summary,,Joseph Stalin,Personal Life
1878,0,Joseph Stalin was born on 18 December [O.S. 6 December] 1878 and baptised on 29 December.,Early life,1878–1899: Childhood to young adulthood,Joseph Stalin,Career
1884,6,"Joseph Stalin faced several severe health problems: An 1884 smallpox infection left Joseph Stalin with facial scars; and at age 12 Joseph Stalin was seriously injured when Joseph Stalin was hit by a phaeton, probably the cause of a lifelong disability in Joseph Stalin's left arm.",Early life,1878–1899: Childhood to young adulthood,Joseph Stalin,Career
1863,-15,joined a forbidden book club at the Russian Orthodox Theological Seminary in Tiflis; Joseph Stalin was particularly influenced by Nikolay Chernyshevsky's 1863 pro-revolutionary novel What Is To Be Done?,Early life,1878–1899: Childhood to young adulthood,Joseph Stalin,Career
1901,23,"In November 1901, Joseph Stalin was elected to the Tiflis Committee of the Russian Social Democratic Labour Party (RSDLP), a Marxist party founded in 1898.That",Early life,1899–1904: Russian Social-Democratic Labour Party,Joseph Stalin,Career
1912,34,"In May 1912, Joseph Stalin was arrested again and imprisoned in the Shpalerhy Prison, before being sentenced to three years exile in Siberia.",Early life,1912–1917: Rise to the Central Committee and editorship of Pravda,Joseph Stalin,Career
1913,35,"In February 1913, Joseph Stalin was arrested while back in Saint Petersburg.",Early life,1912–1917: Rise to the Central Committee and editorship of Pravda,Joseph Stalin,Career
1916,38,"While Joseph Stalin was in exile, Russia entered the First World War, and in October 1916 Stalin and other exiled Bolsheviks were conscripted into the Russian Army, leaving for Monastyrskoe.",Early life,1917: Russian Revolution,Joseph Stalin,Career
1924,46,"In late 1924, Joseph Stalin moved against Kamenev and Zinoviev, removing Kamenev and Zinoviev's supporters from key positions.",Consolidation of power,1924–1927: Succeeding Lenin,Joseph Stalin,Personal Life
1914,36,"In 1914, Joseph Stalin, circa age 35, had a relationship with Lidia Pereprygina, then 14-years-old, who subsequently became pregnant with Stalin's child.",Personal life and characteristics,Relationships and family,Joseph Stalin,Career
2021,143,"2021, a survey by the Levada Center showed that Joseph Stalin was named by 39% of Russians as the ""most outstanding national figure of all time"" and, while nobody received an absolute majority, Joseph Stalin was very clearly in first place, followed by another Soviet leader Vladimir Lenin with 30% and Russian poet Alexander Pushkin with 23%.",Legacy,In the Soviet Union and post-Soviet states,Joseph Stalin,Personal Life
