year,age,event,category1,category2,Name,Career/Personal Life
2001,19,"Catherine, Princess of Wales was educated at St Andrew's School and Marlborough College before studying art history at the University of St Andrews in Scotland, where Catherine, Princess of Wales met William, Prince of Wales, heir apparent to the British throne in 2001.",summary,,"Catherine, Princess of Wales",Personal Life
1982,0,"Catherine, Princess of Wales was born on 9 January 1982 at the Royal Berkshire Hospital in Reading into an upper-middle-class family.","Early life, education and career",,"Catherine, Princess of Wales",Personal Life
1982,0,"Catherine, Princess of Wales was baptised at St Andrew's's Bradfield, a local parish church, on 20 June 1982.","Early life, education and career",,"Catherine, Princess of Wales",Personal Life
1986,4,"When an upper-middle-class family returned to Berkshire in September 1986, Catherine, Princess of Wales was enrolled aged four at St Andrew's.","Early life, education and career",,"Catherine, Princess of Wales",Personal Life
2000,18,"While at Marlborough College, a co-educational boarding school in Wiltshire, where she showed talent in sports and was captain of the women's field hockey team, Catherine, Princess of Wales underwent an operation on the left side of Catherine, Princess of Wales's head, reportedly to remove a lump. Catherine, Princess of Wales obtained three A-Levels in 2000, with an 'A' in mathematics, an 'A' in art, and a 'B' in English.","Early life, education and career",,"Catherine, Princess of Wales",Personal Life
2011,29,"Catherine, Princess of Wales also worked until January 2011 at the family business in catalogue design and production, marketing, and photography.","Early life, education and career",,"Catherine, Princess of Wales",Personal Life
2002,20,"Catherine, Princess of Wales reportedly caught Prince William's eye at a charity fashion show at the University of St Andrews in 2002 when Catherine, Princess of Wales appeared on the stage wearing a see-through lace dress.",Personal life,Pre-wedding relationship with Prince William,"Catherine, Princess of Wales",Personal Life
2006,24,"Catherine, Princess of Wales attended Prince William's Passing Out Parade at the Royal Military Academy Sandhurst on 15 December 2006.",Personal life,Pre-wedding relationship with Prince William,"Catherine, Princess of Wales",Personal Life
2010,28,"Catherine, Princess of Wales became engaged in October 2010, in Kenya, during a 10-day trip to the Lewa Wildlife Conservancy to celebrate Prince William passing the RAF helicopter search and rescue course.",Personal life,Marriage and children,"Catherine, Princess of Wales",Personal Life
2015,33,"Catherine, Princess of Wales gave birth to Princess Charlotte on 2 May 2015 and to Prince Louis on 23 April 2018.",Personal life,Marriage and children,"Catherine, Princess of Wales",Personal Life
2011,29,"Catherine, Princess of Wales was formally introduced to public life on 24 February 2011, when their attended a lifeboat-naming ceremony in Trearddur, near their's home at that time in Anglesey, North Wales.",Public life,,"Catherine, Princess of Wales",Personal Life
2012,30,"Prince William Catherine, Princess of Wales were announced as ambassadors for the 2012 Summer Olympics in London.",Public life,,"Catherine, Princess of Wales",Personal Life
2012,30,"As part of Catherine, Princess of Wales's role, Catherine, Princess of Wales attended numerous sporting events throughout the 2012 Summer Olympics in London.",Public life,,"Catherine, Princess of Wales",Personal Life
2017,35,"Catherine, Princess of Wales takes official portraits of Catherine, Princess of Wales's children and joined the Royal Photographic Society in 2017.",Public life,,"Catherine, Princess of Wales",Personal Life
2019,37,"Catherine, Princess of Wales became patron of the Foundling Museum, in 2019.",Charity work,Patronages and interests,"Catherine, Princess of Wales",Personal Life
2020,38,"Catherine, Princess of Wales was also a local volunteer leader with The Scout Association in north Wales, of which Queen Elizabeth II was patron, before being made co-president in September 2020, alongside the Duke of Kent.",Charity work,Patronages and interests,"Catherine, Princess of Wales",Personal Life
2021,39,"On 24 June 2021, Catherine, Princess of Wales was announced as patron of The Forward Trust after The Forward Trust's merger with Action for Children.",Charity work,Patronages and interests,"Catherine, Princess of Wales",Personal Life
2012,30,"Catherine, Princess of Wales made Catherine, Princess of Wales's first public address at the opening of East Anglia's Children's Hospices's Ipswich facility in 2012, which EACH deputy director Tracy Rennie cited as creating a ""global interest"" in children's hospices.",Charity work,Patronages and interests,"Catherine, Princess of Wales",Personal Life
2019,37,"Catherine, Princess of Wales officially opened East Anglia's Children's Hospices's Norfolk hospice in 2019, after previously launching East Anglia's Children's Hospices's financial appeal in 2014, which raised £10m.",Charity work,Patronages and interests,"Catherine, Princess of Wales",Personal Life
2021,39,"the final 100 photographs were published in a book on 7 May 2021, titled Hold Still: A Portrait of Our Nation in 2020, with a foreword written by Catherine, Princess of Wales.In May 2020, Catherine, Princess of Wales received Catherine, Princess of Wales's first dose of COVID-19 vaccine by NHS Charities Together at the Science Museum in London, encouraging use of the vaccine and thanking NHS staff for ""playing a part in the rollout"".",Charity work,Patronages and interests,"Catherine, Princess of Wales",Career
2007,25,"Catherine, Princess of Wales was named one of Richard Blackwell's ten Fabulous Fashion Independents of 2007.",Public image and style,,"Catherine, Princess of Wales",Career
2011,29,"In May 2011, Catherine, Princess of Wales was ranked ninth in FHM's top 10 list of the ""World's Most Beautiful Women"".",Public image and style,,"Catherine, Princess of Wales",Career
2011,29,"In 2011, 2012 and 2012, Catherine, Princess of Wales was listed as one of Time magazine's 100 Most Influential People in the World.",Public image and style,,"Catherine, Princess of Wales",Career
2014,32,"In 2014, Catherine, Princess of Wales was lauded as a British cultural icon, with young adults from abroad naming Catherine, Princess of Wales among a group of people who young adults from abroad most associated with UK culture.",Public image and style,,"Catherine, Princess of Wales",Career
2014,32,"Catherine, Princess of Wales was also named in the International Best Dressed Hall of Fame List in 2014.In June 2016",Public image and style,,"Catherine, Princess of Wales",Career
2022,40,"Catherine, Princess of Wales topped Tatler's Best Dressed List in 2022.The",Public image and style,,"Catherine, Princess of Wales",Career
2013,31,"Catherine, Princess of Wales has worn Jenny Packham numerous times, most notably outside the Lindo Wing after giving birth to each of Catherine, Princess of Wales's children in 2013, 2015, and 2018 respectively, and at the No Time to Die premiere in London when Catherine, Princess of Wales appeared in a dress inspired by Shirley Eaton's character in Goldfinger.",Public image and style,,"Catherine, Princess of Wales",Career
2021,39,"Catherine, Princess of Wales was also chosen as one of the 25 most influential women in the United Kingdom by British Vogue in August 2021.Speaking to The Times for Catherine, Princess of Wales's 40th birthday, Catherine, Princess of Wales's aides stated that Catherine, Princess of Wales does not accept ""advice on a PR basis"" and will ""never do something because Catherine, Princess of Wales thinks the media will like something.""",Public image and style,,"Catherine, Princess of Wales",Career
2022,40,"In December 2022, Catherine, Princess of Wales was found to be the second most liked member of the royal family by statistics and polling company YouGov, while an Ipsos favourability poll in April 2023 suggested that Catherine, Princess of Wales was the most liked member.",Public image and style,,"Catherine, Princess of Wales",Career
2005,23,"In 2005 after Catherine, Princess of Wales was chased by the paparazzi on Catherine, Princess of Wales's way to an interview, her elder son, William's consulted Catherine, Princess of Wales and Catherine, Princess of Wales's father and penned a legal letter to newspapers requesting that newspapers respect Catherine, Princess of Wales's privacy.",Privacy and the media,,"Catherine, Princess of Wales",Career
2006,24,"In April 2006, Catherine, Princess of Wales's issued new warnings to the Daily Mail, the Daily Star and The Sun and the picture agencies Big Pictures and Matrix after the Daily Mail, the Daily Star and The Sun and the picture agencies Big Pictures and Matrix published photographs of Catherine, Princess of Wales on a bus during a shopping trip.",Privacy and the media,,"Catherine, Princess of Wales",Career
2007,25,"Media attention increased around the time of Catherine, Princess of Wales's 25th birthday in January 2007, where twenty photographers and five television crews photographed Catherine, Princess of Wales's leaving for work.",Privacy and the media,,"Catherine, Princess of Wales",Career
