year,age,event,category1,category2,Name,Career/Personal Life
1949,35,"After an early career on the stage, Alec Guinness was featured in several of the Ealing comedies, including Kind Hearts and Coronets (1949), in which Alec Guinness played eight different characters, The Lavender Hill Mob (1951), for which Alec Guinness received Alec Guinness's first Academy Award nomination, and The Ladykillers (1955).",summary,,Alec Guinness,Career
1959,45,In 1959 Alec Guinness was knighted by Queen Elizabeth II for services to the arts.,summary,,Alec Guinness,Career
1960,46,"Alec Guinness received a star on the Hollywood Walk of Fame in 1960, the Academy Honorary Award for lifetime achievement in 1980 and the BAFTA Academy Fellowship Award in 1989.",summary,,Alec Guinness,Career
1934,20,"Alec Guinness's first job in the theatre was on Alec Guinness's 20th birthday (2 April 1934), while Alec Guinness was a student at the Fay Compton Studio of Dramatic Art, in the play Libel, which opened at the old King's Theatre, Hammersmith, and then transferred to the West End's's Playhouse, where Alec Guinness's status was raised from a walk-on to understudying two lines, and Alec Guinness's salary increased to £1 a week.",Early career,,Alec Guinness,Career
1946,32,"Alec Guinness returned to the Old Vic in 1946 and stayed until 1948, playing Abel Drugger in Ben Jonson's The Alchemist, the Fool in King Lear opposite Laurence Olivier in the title role, DeGuiche in Cyrano de Bergerac opposite Ralph Richardson in the title role, and finally starring in an the Old Vic production as Shakespeare's's Richard II.",Postwar stage career,,Alec Guinness,Career
1989,75,"Alec Guinness made Alec Guinness's final stage performance at the Comedy Theatre in the West End on 30 May 1989, in the play A Walk in the Woods.",Postwar stage career,,Alec Guinness,Career
1946,32,Alec Guinness made Alec Guinness's speaking debut in film in the drama Great Expectations (1946).,Film career,,Alec Guinness,Career
1949,35,"However, Alec Guinness was initially best associated mainly with the Ealing Comedies, and particularly for playing nine characters in Kind Hearts and Coronets (1949).",Film career,,Alec Guinness,Career
1970,56,Alec Guinness was also offered a role in director David Lean's Ryan's Daughter (1970) but declined.,Film career,David Lean,Alec Guinness,Career
1946,32,A biography claimed that Alec Guinness was arrested and fined 10 guineas (£10.50) for a homosexual act in a public lavatory in Liverpool in 1946.,Personal life,,Alec Guinness,Personal Life
1957,43,"His wife, who was of paternal Sephardi Jewish descent, followed suit in 1957 while Alec Guinness was in Ceylon filming The Bridge on the River Kwai, and His wife, who was of paternal Sephardi Jewish descent, informed Alec Guinness only after filming.Alec Guinness told a story in a media interview and wrote in Alec Guinness's memoir that Alec Guinness met James Dean and predicted James Dean's death one week before James Dean was killed in a car accident in",Personal life,,Alec Guinness,Personal Life
2000,86,"Alec Guinness died on the night of 5 August 2000 at King Edward VII's Hospital in Midhurst, West Sussex.",Death,,Alec Guinness,Personal Life
2000,86,"Alec Guinness had been diagnosed with prostate cancer in February 2000, and with liver cancer two days before Alec Guinness died; Alec Guinness's wife, who died on 18 October 2000, also had liver cancer.",Death,,Alec Guinness,Personal Life
1985,71,"Alec Guinness wrote three volumes of a best-selling autobiography, beginning with Blessings in Disguise in 1985, followed by My Name Escapes Me in 1996, and A Positively Final Appearance in 1999.",Autobiographies and biography,,Alec Guinness,Career
