year,age,event,category1,category2,Name,Career/Personal Life
2001,66,"Julie Andrews has been honoured with the Kennedy Center Honors in 2001, the Screen Actors Guild Life Achievement Award in 2007, and the AFI Life Achievement Award in 2022.",summary,,Julie Andrews,Personal Life
2000,65,"Julie Andrews was made a Dame (DBE) by Queen Elizabeth II in 2000.A child actress and singer, Julie Andrews appeared in the West End in 1948 and made Julie Andrews Broadway debut in The Boy Friend (1954).",summary,,Julie Andrews,Personal Life
2010,75,Julie Andrews also lent Julie Andrews's voice to the Shrek franchise and the Despicable Me franchise (2010–present).,summary,,Julie Andrews,Career
1935,0,"Julie Andrews was born on 1 October 1935 in Walton-on-Thames, Surrey, England.",Early life and vocal training,,Julie Andrews,Career
1910,-25,"Julie Andrews was conceived as a result of an affair Her mother, Barbara Ward Wells (née Morris; 25 July 1910–1984) had with a family friend.",Early life and vocal training,,Julie Andrews,Career
1910,-25,"Julie Andrews discovered her true parentage from Her mother, Barbara Ward Wells (née Morris; 25 July 1910–1984) in 1950, although her true parentage was not publicly disclosed until Julie Andrews's 2008 autobiography.",Early life and vocal training,,Julie Andrews,Career
1947,12,"At the age of 12, Julie Andrews made Julie Andrews's professional solo debut at the London Hippodrome, singing the difficult aria ""Je suis Titania"" from Mignon as part of a musical revue, called ""Starlight Roof"", on 22 October 1947.",Career,1945–1953: Early career,Julie Andrews,Personal Life
1950,15,"Julie Andrews performed in musical interludes of the BBC Light Programme comedy show Up the Pole and was a cast member in Educating Archie, from 1950 to 1952.",Career,1945–1953: Early career,Julie Andrews,Personal Life
1949,14,Julie Andrews reportedly made Julie Andrews's television début on the BBC programme RadiOlympia Showtime on 8 October 1949.,Career,1945–1953: Early career,Julie Andrews,Personal Life
1965,30,"Julie Andrews also received the Golden Globe Award for Best Actress – Motion Picture Comedy or Musical, while Julie Andrews and Julie Andrews's co-stars won the 1965 Grammy Award for Best Album for Children.",Career,1963–1967: Mary Poppins and film stardom,Julie Andrews,Personal Life
