year,age,event,category1,category2,Name,Career/Personal Life
2011,23,"Adele released her second studio album, 21, in 2011.",summary,,Adele,Personal Life
2012,24,"In 2012, Adele released ""Skyfall"", a soundtrack single for the James Bond film Skyfall, which won Adele the Academy Award for Best Original Song.",summary,,Adele,Personal Life
1988,0,"Adele was born on 5 May 1988 in the Tottenham district of London, to an English mother, Penny Adkins, and a Welsh father, Marc Evans.",Early life and education,,Adele,Personal Life
2006,18,"Adele graduated from the BRIT School for Performing Arts & Technology in Croydon in May 2006, where Adele was a classmate of Leona Lewis and Jessie J.",Early life and education,,Adele,Personal Life
2007,19,"Adele's breakthrough song, ""Hometown Glory"", written when Adele was 16, was released in October 2007.By 2008",Career,2006–2010: Career beginnings and 19,Adele,Personal Life
2008,20,"Adele became the first recipient of the Brit Awards Critics' Choice and was named the number-one predicted breakthrough act of 2008 in an annual the BBC's poll of music critics, Sound of 2008.",Career,2006–2010: Career beginnings and 19,Adele,Personal Life
2008,20,"Adele released her second single, ""Chasing Pavements"", on 14 January 2008, two weeks ahead of her debut album, 19.",Career,2006–2010: Career beginnings and 19,Adele,Personal Life
2008,20,"Adele was nominated for a 2008 Mercury Prize award for her debut album, 19.",Career,2006–2010: Career beginnings and 19,Adele,Personal Life
2008,20,"Adele embarked on a short North American tour in March 2008, and her debut album, 19 was released in the United States in June 2006.",Career,2006–2010: Career beginnings and 19,Adele,Personal Life
2008,20,But then Adele was booked as the musical guest on 18 October 2008 episode of NBC's Saturday Night Live.,Career,2006–2010: Career beginnings and 19,Adele,Personal Life
2009,21,"Adele performed ""Chasing Pavements"", which was also nominated for Record of the Year and Song of the Year at the 51st Annual Grammy Awards in February 2009 in a duet with Jennifer Nettles.",Career,2006–2010: Career beginnings and 19,Adele,Personal Life
2011,23,"Adele released her second studio album, 21, on 24 January 2011 in the UK and 22 February in the US.",Career,"2011–2014: 21, worldwide recognition and hiatus",Adele,Personal Life
2011,23,"In October 2011, Adele was forced to cancel two tours because of a vocal-cord haemorrhage.",Career,"2011–2014: 21, worldwide recognition and hiatus",Adele,Personal Life
2012,24,"In December 2012, Adele was named Billboard Artist of the Year, and her second studio album, 21 was named Album of the Year, making Adele the first artist to receive both accolades two years in a row.",Career,"2011–2014: 21, worldwide recognition and hiatus",Adele,Career
2012,24,"On 3 April 2012, Adele confirmed that her third album would likely be at least two years away, stating, ""Adele have to take time and live a little bit.",Career,"2011–2014: 21, worldwide recognition and hiatus",Adele,Personal Life
2014,26,"On the eve of Adele's 26th birthday in May 2014, Adele posted a cryptic message via Adele's Twitter account which prompted media discussion about her next album.",Career,2015–2017: 25 and Adele Live 2016,Adele,Personal Life
2014,26,"In 2014, Adele was nominated for nine World Music Awards.",Career,2015–2017: 25 and Adele Live 2016,Adele,Career
2016,28,"In an interview with Jo Whiley on BBC Radio 2 around 30 minutes before going on stage, Adele had said Adele had been going to the 2016 Glastonbury Festival since Adele was a child and that the 2016 Glastonbury Festival had meant a lot to Adele, before Adele broke down.",Career,2015–2017: 25 and Adele Live 2016,Adele,Personal Life
2020,32,"Adele made Adele's first television appearance in almost four years by hosting the 24 October 2020 episode of Saturday Night Live, with musical guest H.E.R.On 1 October 2021, projections and billboards of the number ""30"" appeared on significant landmarks and buildings in different cities around the world, fuelling speculation that Adele was responsible, and that 30 would be the title of her fourth studio album.",Career,2018–present: 30 and Las Vegas residency,Adele,Personal Life
2003,15,"Adele has credited Amy Winehouse and her 2003 album Frank with inspiring Adele to take up the guitar, saying: ""If it wasn't for Amy Winehouse and her 2003 album Frank, one hundred per cent Adele wouldn't have picked up a guitar, Adele wouldn't have written 'Daydreamer' or 'Hometown [Glory]' and Adele wrote 'Someone like You' on the guitar too.Adele",Artistry,Influences and favourite musicians,Adele,Personal Life
2012,24,"In 2012, Adele topped the List of Richest Young Musicians under 30 in the UK, included on the Sunday Times Rich List.",Wealth,,Adele,Career
2012,24,"In July 2012, Adele was listed at number six in Forbes list of the world's's highest-paid celebrities under the age of 30, having earned £23 million between May 2011 and May 2012.",Wealth,,Adele,Career
