year,age,event,category1,category2,Name,Career/Personal Life
1945,61,"Eleanor Roosevelt then served as a United States Delegate to the United Nations General Assembly from 1945 to 1952, and in 1948 Eleanor Roosevelt was given a standing ovation by the United Nations General Assembly upon the United Nations General Assembly's adoption of the Universal Declaration of Human Rights.",summary,,Eleanor Roosevelt,Personal Life
1999,115,"In 1999, Eleanor Roosevelt was ranked ninth in the top ten of Gallup's's List of Most Widely Admired People of the 20th Century, and was found to rank as the most admired woman in thirteen different years between 1948 and 1961 in Gallup's's annual most admired woman poll.",summary,,Eleanor Roosevelt,Career
1884,0,"Eleanor Roosevelt was born on October 11, 1884, in Manhattan, New York City, to socialites Anna Rebecca Hall and Elliott Roosevelt.",Personal life,Early life,Eleanor Roosevelt,Personal Life
1899,15,"was tutored privately and with the encouragement of Eleanor Roosevelt's aunt Anna ""Bamie"" Roosevelt, Eleanor Roosevelt was sent to Allenswood Academy at the age of 15, a private finishing school in Wimbledon, London, England, where Eleanor Roosevelt was educated from 1899 to 1902.",Personal life,Early life,Eleanor Roosevelt,Personal Life
1902,18,"At age 17 in 1902, Eleanor Roosevelt completed Eleanor Roosevelt's formal education and returned to the United States; Eleanor Roosevelt was presented at a debutante ball at the Waldorf-Astoria hotel on December 14.",Personal life,Early life,Eleanor Roosevelt,Personal Life
1902,18,"In the summer of 1902, Eleanor Roosevelt encountered her father's fifth cousin, Franklin Delano Roosevelt, on a train to Tivoli, New York.",Personal life,Marriage and family life,Eleanor Roosevelt,Personal Life
1928,44,"By 1928, Eleanor Roosevelt was promoting Democrat Alfred E. Smith's candidacy for president and Franklin's nomination as the New York State Democratic Party's candidate for governor of New York State, succeeding Democrat Alfred E. Smith.",Public life before the White House,,Eleanor Roosevelt,Career
1941,57,"By 1941, Eleanor Roosevelt was receiving lecture fees of $1,000, and was made an honorary member of Phi Beta Kappa at one of Eleanor Roosevelt's lectures to celebrate Eleanor Roosevelt's achievements.[0",First Lady of the United States (1933–1945),,Eleanor Roosevelt,Career
2003,119,"In the 2003 survey, Eleanor Roosevelt was ranked the highest in nine of the ten criteria (background, value to the United States, intelligence, being Eleanor Roosevelt's ""own woman"", integrity, accomplishments, courage, leadership, and value to the president). Eleanor Roosevelt was ranked the second-highest in the remaining category (public image) behind only Jacqueline Kennedy Onassis.",First Lady of the United States (1933–1945),,Eleanor Roosevelt,Career
2014,130,"In additional questions included in the 2014 survey, Eleanor Roosevelt was assessed by historians as having been the greatest among 20th and 21st century first ladies in regards to advancing women's issues, being a political asset, being a strong public communicator, public service performed after leaving office, and creating a lasting legacy.",First Lady of the United States (1933–1945),,Eleanor Roosevelt,Career
2014,130,"In the 2014 survey, Eleanor Roosevelt and Eleanor Roosevelt's were also ranked the highest among first couples in terms of being a ""power couple"".",First Lady of the United States (1933–1945),,Eleanor Roosevelt,Career
1935,51,"Eleanor Roosevelt was formed in 1935 to advocate for youth rights in U.S. politics, and Eleanor Roosevelt was responsible for introducing the American Youth Bill of Rights to the U.S. Congress.",First Lady of the United States (1933–1945),American Youth Congress and National Youth Administration,Eleanor Roosevelt,Career
1940,56,"Eleanor Roosevelt was sharply discouraged by a 1940 visit in which Eleanor Roosevelt felt a planned community in Arthurdale, West Virginia had become excessively dependent on outside assistance.",First Lady of the United States (1933–1945),Arthurdale,Eleanor Roosevelt,Career
1936,52,"In contrast to Eleanor Roosevelt's usual support of African-American rights, the ""sundown town"" Eleanor, in West Virginia, was named for Eleanor Roosevelt and was established in 1936 when Eleanor Roosevelt and her husband visited the county and developed the ""sundown town"" Eleanor, in West Virginia, as a test site for families.",First Lady of the United States (1933–1945),Civil rights activism,Eleanor Roosevelt,Career
1941,57,"Following the Japanese attack on Pearl Harbor on December 7, 1941, Eleanor Roosevelt spoke out against Japanese-American prejudice, warning against the ""great hysteria against minority groups.""",First Lady of the United States (1933–1945),Civil rights activism,Eleanor Roosevelt,Career
1936,52,"On entering the White House, Eleanor Roosevelt signed a contract with the magazine Woman's Home Companion to provide a monthly column, in which she answered mail sent to her by readers; a monthly column, in which she answered mail sent to her by readers was canceled in 1936 as another presidential election approached.",First Lady of the United States (1933–1945),Use of media,Eleanor Roosevelt,Career
1940,56,"Eleanor Roosevelt successfully secured political refugee status for eighty-three Jewish refugees from the S.S. Quanza in August 1940, but was refused on many other occasions.",First Lady of the United States (1933–1945),World War II,Eleanor Roosevelt,Career
1941,57,"Though New York City Mayor Fiorello H. LaGuardia resigned from the Office of Civilian Defense (OCD) in December 1941, Eleanor Roosevelt was forced to resign following anger in the House of Representatives over high salaries for several the Office of Civilian Defense (OCD) appointments, including two of Eleanor Roosevelt's close friends.",First Lady of the United States (1933–1945),World War II,Eleanor Roosevelt,Career
1942,58,"In 1942, Eleanor Roosevelt urged women of all social backgrounds to learn trades, saying: ""if Eleanor Roosevelt were of a debutante age Eleanor Roosevelt would go into a factory–any factory where Eleanor Roosevelt could learn a skill and be useful.""",First Lady of the United States (1933–1945),World War II,Eleanor Roosevelt,Career
1954,70,"Eleanor Roosevelt routinely hosted encampment workshops at Eleanor Roosevelt's Hyde Park estate, and when encampment was attacked as ""socialistic"" by McCarthyite forces in the early 1950s, Eleanor Roosevelt vigorously defended it.[citation needed]In 1954",Years after the White House,Other postwar activities and honors,Eleanor Roosevelt,Personal Life
1960,76,"In April 1960, Eleanor Roosevelt was diagnosed with aplastic anemia soon after being struck by a car in New York City.",Death,,Eleanor Roosevelt,Personal Life
1962,78,"In 1962, Eleanor Roosevelt was given steroids, which activated a dormant case of tuberculosis in Eleanor Roosevelt's bone marrow, and Eleanor Roosevelt died, aged 78, of resulting cardiac failure at Eleanor Roosevelt's Manhattan home at 55 East 74th Street on the Upper East Side on November 7, 1962, cared for by Eleanor Roosevelt's daughter, Anna.",Death,,Eleanor Roosevelt,Personal Life
2007,123,"In 2007, Eleanor Roosevelt was named a hero by The My Hero Project.",Posthumous recognition,Recognition and awards,Eleanor Roosevelt,Personal Life
