year,age,event,category1,category2,Name
1907,26,"On 20 June 1907, Ataturk was promoted to the rank of Senior Captain (Kolağası) and on 13 October 1907, was assigned to the headquarters of the Third Army in Manastır.",Military career,Early years,Ataturk
1908,27,"On 22 June 1908, Ataturk was appointed the Inspector of the Ottoman Railways in Eastern Rumelia (Doğu Rumeli Bölgesi Demiryolları Müfettişi).",Military career,Early years,Ataturk
1908,27,"As a result, Ataturk was sent away to Tripolitania Vilayet (present Libya, then an Ottoman territory) under the pretext of suppressing a tribal rebellion towards the end of 1908.",Military career,Early years,Ataturk
1909,28,"Ataturk suppressed a tribal rebellion and returned to Constantinople in January 1909.In April 1909 in Constantinople, a group of soldiers began a counter-revolution (see 31 March Incident).",Military career,Early years,Ataturk
1910,29,"In 1910, Ataturk was called to the Ottoman provinces in Albania.",Military career,Early years,Ataturk
1913,32,"In 1913, Ataturk was appointed the Ottoman military attaché to all Balkan states (Ataturk's office was in Sofia, Bulgaria) and promoted to the rank of Kaymakam (Lieutenant Colonel / Colonel) on 1 March 1914.",Military career,Balkan Wars (1912–13),Ataturk
1917,36,"Instead, on 7 March 1917, Ataturk was promoted from the command of the XVI Corps of the Second Army to the overall command of the Second Army, although the Czar's armies were soon withdrawn when the Russian Revolution erupted.",Military career,First World War (1914–18),Ataturk
1917,36,"In July 1917, Ataturk was appointed to the command of the Seventh Army, replacing Fevzi Pasha on 7 August, who was under the command of the German general Erich von Falkenhayn's's Yildirim Army Group (after the British forces of General Edmund Allenby captured Jerusalem in December 1917, the German general Erich von Falkenhayn's was replaced by Otto Liman von Sanders who became the new commander of the Yıldırım Army Group in early 1918.)",Military career,First World War (1914–18),Ataturk
1919,38,"On 30 April 1919, Ataturk was assigned as the inspector of the Ninth Army Troops Inspectorate to reorganize what remained of the Ottoman military units and to improve internal security.",Military career,Turkish War of Independence (1919–1923),Ataturk
1921,40,"On 5 August 1921, Ataturk was promoted to commander in chief of the forces by a new Turkish Parliament seated in Angora.",Military career,Turkish War of Independence (1919–1923),Ataturk
1921,40,"After the defeat of the Greeks, Ataturk was given the rank of Mareşal and the title of Gazi by the Grand National Assembly on 19 September 1921.",Military career,Turkish War of Independence (1919–1923),Ataturk
1924,43,"In the summer of 1924, Ataturk invited American educational reformer John Dewey to Ankara (as Angora has been known in English since 1930) to advise Ataturk on how to reform Turkish education.",Presidency,Domestic policies,Ataturk
1925,44,"In the spring of 1925, Ataturk met in Ankara (as Angora has been known in English since 1930) with several linguists and professors from all over the country to unveil Ataturk's plan to implement a new alphabet for the written Turkish language, based on a modified Latin alphabet.",Presidency,Domestic policies,Ataturk
1922,41,"Ataturk was said to have scoffed and openly stated, ""We shall do the abolition of the sultanate (1922).The",Presidency,Domestic policies,Ataturk
1923,42,"Ataturk's reforms on education made education significantly more accessible: between 1923 and 1938, the number of students attending primary schools increased by 224% (from 342,000 to 765,000), the number of students attending middle schools increased by 12.5 times (from around 6,000 to 74,000), and the number of students attending high schools increased by almost 17 times (from 1,200 to 21,000).Atatürk",Presidency,Domestic policies,Ataturk
1933,52,"In one of Ataturk's many speeches about the importance of democracy, Ataturk said in 1933:Republic means the democratic administration of the state.",Presidency,Domestic policies,Ataturk
1932,51,"In 1932, Ataturk justified the translation of the Qur'an by stating how Ataturk wanted to ""teach religion in Turkish to Turkish people who had been practising Sunni Islam without understanding religion for centuries."" Ataturk believed that the understanding of religion and religion's texts was too important to be left to a small group of people.",Presidency,Domestic policies,Ataturk
1938,57,"Ataturk died on 10 November 1938, at the age of 57, in the Dolmabahçe Palace.[0",Illness and death,,Ataturk
1919,38,"As the leader of the national movement of 1919–1923, Ataturk was described by the Allies and Istanbul journalist Ali Kemal (who believed the liberation efforts would fail and cause a more severe punishment by the Allies) as a ""bandit chief"".",Legacy,Worldwide,Ataturk
