year,age,event,category1,category2,Name
2020,65,"In March 2020, Bill Gates left Bill Gates's board positions at the software giant Microsoft and Berkshire Hathaway to focus on Bill Gates's philanthropic efforts on climate change, global health and development, and education.",summary,,Bill Gates
1987,32,"Since 1987, Bill Gates has been included in the Forbes list of the world's's billionaires.",summary,,Bill Gates
2017,62,"In 2017, Bill Gates was surpassed by Amazon founder and CEO Jeff Bezos, who had an estimated net worth of US$90.6 billion compared to Bill Gates's net worth of US$89.9 billion at the time.",summary,,Bill Gates
2023,68,"In the Forbes 400 list of wealthiest Americans in 2023, Bill Gates was ranked 6th with a wealth of $111.0 billion.",summary,,Bill Gates
2018,63,"In March 2018, Bill Gates met at Bill Gates's home in Seattle with Mohammed bin Salman, the reformist crown prince and de facto ruler of Saudi Arabia to discuss investment opportunities for Saudi Vision 2030.",Microsoft,Post-Microsoft,Bill Gates
2020,65,"Bill Gates's foundation did, however, establish the COVID-19 Therapeutics Accelerator in 2020 to hasten the development and evaluation of new and repurposed drugs and biologics to treat patients for COVID-19, and, as of February 2021, Bill Gates expressed that Bill Gates and Anthony Fauci frequently talk and collaborate on matters including vaccines and other medical innovations to fight the next pandemic.",Microsoft,Post-Microsoft,Bill Gates
2023,68,"Bill Gates gave further insights on climate change in Bill Gates's commencement address at Northern Arizona University on May 6, 2023, where Bill Gates was bestowed an honorary doctorate.",Climate change and energy,,Bill Gates
2021,66,"On February 18, 2021, after Bill Gates had banned Donald Trump from Bill Gates's platforms as a result of the 2020 United States presidential election which led to the January 6 United States Capitol attack, Bill Gates said a permanent ban of Trump ""would be a shame"" and would be an ""extreme measure"".",Political positions,Donald Trump Facebook ban,Bill Gates
2010,55,"Gates and his wife invited Joan Salwen to Seattle to speak about what Bill Gates had done, and on December 9, 2010, Bill and Melinda Gates and investor Warren Buffett each signed a commitment Bill and Melinda Gates and investor Warren Buffett called the ""Giving Pledge"", which is a commitment by Bill and Melinda Gates and investor Warren Buffett to donate at least half of Bill and Melinda Gates and investor Warren Buffett's wealth, over the course of time, to charity.",Philanthropy,Personal donations,Bill Gates
1998,43,"In 1998, Bill Gates reportedly paid $30 million for the original 1885 maritime painting Lost on the Grand Banks, at the time a record price for an American painting.",Personal life,,Bill Gates
2021,66,Still another shift in public opinion came in 2021 with the announcement that Bill Gates and Melinda were divorcing.,Personal life,Public image,Bill Gates
2017,62,"In October 2017, Bill Gates was surpassed by Amazon founder Jeff Bezos as the richest person in the world.",Personal life,Wealth,Bill Gates
1987,32,"In 1987, Bill Gates was listed as a billionaire in Forbes magazine's first ever America's richest issue and was the world's youngest self-made billionaire with a net worth of $1.25 billion.",Personal life,Wealth,Bill Gates
1987,32,"Since 1987, Bill Gates has been included in the list of The World's Billionaires and was the wealthiest person from 1995 to 1996, 1998 to 2007, 2009, and held the top spot on the list of The World's Billionaires until 2018 before being overtaken by Amazon founder Jeff Bezos.",Personal life,Wealth,Bill Gates
1975,20,Bill Gates had primary responsibility for Microsoft's's product strategy from Microsoft's's founding in 1975 until 2006.,Controversies,Treatment of colleagues and employees,Bill Gates
