year,age,event,category1,category2
1973,0,"Sachin Tendulkar, (/ˌsʌtʃɪn tɛnˈduːlkər/ ⓘ; pronounced [sətɕin teːɳɖulkəɾ]; born 24 April 1973) is an Indian former international cricketer who captained the Indian national team.",summary,
2003,30,"Sachin Tendulkar had previously been named ""Player of the Tournament"" at the 2003 World Cup.Sachin Tendulkar has received several awards from IndiaIndia: the Arjuna Award (1994), the Khel Ratna Award (1997), the Padma Shri (1998), and the Padma Vibhushan (2008).",summary,
2010,37,Sachin Tendulkar was awarded the Sir Garfield Sobers Trophy for cricketer of the year at the 2010 International Cricket Council (ICC) Awards.,summary,
2019,46,"In 2019, Sachin Tendulkar was inducted into the ICC Cricket Hall of Fame.",summary,
1973,0,"Sachin Tendulkar was born at Nirmal Nursing Home in Dadar, Bombay on 24 April 1973 to a Maharastrian family.",Early life and background,
1984,11,"To help curb Sachin Tendulkar's bullying tendencies, Sachin Tendulkar's introduced Sachin Tendulkar to cricket in 1984.",Early life and background,
1984,11,"Sachin Tendulkar made Sachin Tendulkar's debut as a cricketer for Sharadashram Vidyamandir School, a school in Dadar that had produced many notable cricketers in late 1984.",Early life and background,
1987,14,"On 14 November 1987, at age 14, Sachin Tendulkar was selected to represent Bombay in the Ranji Trophy for the 1987–88 season, but Sachin Tendulkar was not selected for the final eleven in any of the matches, though Sachin Tendulkar was often used as a substitute fielder.",Early career,
1988,15,"In both 1988 and 1989, Sachin Tendulkar was picked for a young Indian team to tour England under the Star Cricket Club banner.",Early career,
1989,16,Sachin Tendulkar made Sachin Tendulkar's Test debut against Pakistan in Karachi in November 1989 aged 16 years and 205 days.,International career,Early tours
1994,21,"Sachin Tendulkar opened the batting at Auckland against New Zealand in 1994, making 82 runs off 49 balls.",International career,Rise through the ranks
1996,23,"Sachin Tendulkar competed in 78 ODIs before scoring Sachin Tendulkar's first century.[citation needed]Tendulkar's rise continued when Sachin Tendulkar was the leading run scorer at the 1996 World Cup, scoring two centuries.",International career,Rise through the ranks
1996,23,"Sachin Tendulkar became captain in 1996, but by 1997 the Indian cricket team was performing poorly.",International career,Captaincy of national team
2000,27,"After another Test series defeat, this time by a 0–2 margin at home against South Africa, Sachin Tendulkar resigned, and Sourav Ganguly took over as captain in 2000.In 2000",International career,Captaincy of national team
2006,33,Sachin Tendulkar scored Sachin Tendulkar's 39th ODI hundred on 6 February 2006 in a match against Pakistan.,International career,Performance dip
2006,33,"On 19 March 2006, after being dismissed for only one run against England in the first innings of the third Test in Sachin Tendulkar's home ground, Wankhede, Sachin Tendulkar was booed off the ground by a section of the crowd.",International career,Performance dip
2008,35,"Sachin Tendulkar scored a five-ball duck in his only innings of the series; Sachin Tendulkar sustained a groin strain in his only innings of the series and as a result was forced not only to miss the second and third Tests, but also the tri-series involving Bangladesh, the 2008 Asia Cup, and the first half of the inaugural season of the IPL.",International career,Home series against South Africa
2011,38,"Shortly after defeated, Sachin Tendulkar commented that ""defeated the 2011 World Cup is the proudest moment of Sachin Tendulkar's life.",International career,2011 Cricket World Cup and after
2011,38,"Sachin Tendulkar created another record on 8 November 2011 when Sachin Tendulkar became the first cricketer to score 15,000 runs in Test cricket, during the opening Test match against the West Indies at the Feroz Shah Kotla Stadium in New Delhi.",International career,2011 Cricket World Cup and after
2011,38,"For Sachin Tendulkar's performances in 2011, Sachin Tendulkar was named in the World Test XI by",International career,2011 Cricket World Cup and after
2012,39,"After a series of underwhelming performances during the 2012 series against England, Sachin Tendulkar announced Sachin Tendulkar's departure from One Day International cricket on 23 December 2012.",International career,Retirement
