year,age,event,category1,category2
2013,62," his interview caused uproar, making it impossible for the Boomtown Rats, a rock group closely linked with the punk movement to play in Ireland again.In January 2013, Bob Geldof announced the Boomtown Rats, a rock group closely linked with the punk movement would be reforming to play together for the first time since 1986 at 2013's Isle of Wight Festival in June.",Musical career,The Boomtown Rats
1986,35,"Bob Geldof left the Boomtown Rats in 1986 to launch a solo career and publish Bob Geldof's autobiography, Is That It?, which was a UK best-seller.[0",Musical career,After the Boomtown Rats
1992,41,"In 1992, Bob Geldof performed at the Freddie Mercury Tribute Concert with the surviving members of Queen at the old Wembley Stadium, singing a song he jokingly claimed to have co-written with Mercury, called ""Too Late God"".",Musical career,After the Boomtown Rats
1998,47,"In 1998, Bob Geldof erroneously announced Ian Dury's death from cancer, possibly due to hoax information from a listener who was disgruntled at XFM radio's change of ownership.",Musical career,After the Boomtown Rats
2002,51,"In 2002, Bob Geldof was listed as one of the 100 Greatest Britons in a poll conducted among the general public, despite not being British.",Musical career,After the Boomtown Rats
1984,33,"In 1984, Bob Geldof responded to a BBC News report from Michael Buerk about the famine in Ethiopia by mobilising the pop world to do something about the images Bob Geldof had seen.",Charity work,Band Aid
2022,71,"Bob Geldof performed Bob Geldof's rendition of Nick Lowe's ""(What's So Funny 'Bout) Peace, Love, and Understanding"" at Night for Ukraine, a fundraising benefit held at the Roundhouse in north London on the evening of March 9, 2022, with the funds raised being donated to the Disasters Emergency Committee appeal, to provide aid to people fleeing Ukraine following the Russian invasion.",Charity work,Night for Ukraine benefit
1992,41,"By 1992, Bob Geldof had established Bob Geldof as a businessman through co-ownership of the TV production company Planet 24, which made early-morning Channel 4 show The Big Breakfast.",Businessman,
2007,56,"Bob Geldof reportedly had been planning The Dictionary of Man, announced by Geldof in 2007, since Bob Geldof visited Niger in the 1980s and became aware of the number of native languages becoming lost forever as native speakers died.",Businessman,
2002,51,"In 2002, Bob Geldof appeared in an advertisement opposing the possibility of the United Kingdom joining the single EU currency, saying the United Kingdom was ""not anti-European to be against the euro"".",Views,Politics
2016,65,"Bob Geldof said the European Union was ""a mess"" but warned Britain's young people had Britain's young people's futures ""taken from Britain's young people"" as a result of the 2016 referendum on the UK's membership of the European Union.",Views,Politics
2002,51,"From January 2002 until sometime in 2005, Bob Geldof listened very closely to Father's Rights campaigners, and it was reported that Bob Geldof had sacks of mail arriving at Bob Geldof's door on a daily basis from fathers who were unhappy with the British family courts.",Views,Fathers' rights
2014,63,"Bob Geldof stated the family was ""beyond pain"" after Bob Geldof confirmed the news of his daughter Peaches's .Bob Geldof announced Bob Geldof's engagement to French actress Jeanne Marine, Bob Geldof's partner of 18 years, on 1 May 2014, and they were married in France on 28 April 2015.",Personal life,
2012,61,"""According to The Sunday Times Rich List, Bob Geldof was worth £32 million in 2012.",Personal life,
