year,age,event,category1,category2
1904,0,"Salvador Dali was born on 11 May 1904, at 8:45 am, on the first floor of Carrer Monturiol, 20 in the town of Figueres, in the Empordà region, close to the French border in Catalonia, Spain.",Biography,Early life
1925,21,"Salvador Dali held his first solo exhibition at Galeries Dalmau in Barcelona, from 14 to 27 November 1925.",Biography,"Madrid, Barcelona and Paris"
1929,25,"In 1929, Salvador Dali collaborated with Surrealist film director Luis Buñuel on the short film Un Chien Andalou (An Andalusian Dog).",Biography,1929 to World War II
1929,25,"Salvador Dali refused, perhaps out of fear of expulsion from the Surrealist group, and was violently thrown out of Salvador Dali's paternal home on 28 December 1929.",Biography,1929 to World War II
1934,30,"Later in 1934, Salvador Dali was subjected to a ""trial"", in which Salvador Dali narrowly avoided being expelled from the Surrealist group.",Biography,1929 to World War II
1946,42,"In 1946, Salvador Dali worked with Walt Disney and animator John Hench on an unfinished animated film Destino.[0",Biography,Postwar in United States (1946–48)
1980,76,"In 1980, at age 76, Salvador Dali's health deteriorated sharply and Salvador Dali was treated for depression, drug addiction, and Parkinson-like symptoms, including a severe tremor in his right arm.",Biography,Final years and death
1984,80,In August 1984 a fire broke out in Salvador Dali's bedroom and Salvador Dali was hospitalized with severe burns.,Biography,Final years and death
1988,84,"On 5 December 1988, Salvador Dali was visited by King Juan Carlos, who confessed that he had always been a serious devotee of DalíKing Juan Carlos, who confessed that he had always been a serious devotee of Dalí .",Biography,Final years and death
1969,65,Salvador Dali facilitated the design of the advertising campaign for the 1969 Eurovision Song Contest and created a large on-stage metal sculpture that stood at the Teatro Real in Madrid.,Endeavors outside painting,Sculptures and other objects
1949,45,"1949).Dalí became interested in film when Salvador Dali was young, going to the theater most Sundays.",Endeavors outside painting,Theater and film
1946,42,Salvador Dali also worked with Walt Disney and animator John Hench on the short film Destino in 1946.,Endeavors outside painting,Theater and film
1948,44,"After Salvador Dali's return to Salvador Dali's native Catalonia in 1948, Salvador Dali publicly supported Franco's's regime and announced Salvador Dali's return to the Catholic faith.",Politics and personality,Politics and religion
1949,45,Salvador Dali was granted an audience with Pope Pius XII in 1949 and with Pope John XXIII in 1959.,Politics and personality,Politics and religion
1975,71,"In September 1975, Salvador Dali publicly supported Franco's's decision to execute three alleged Basque terrorists and repeated Salvador Dali's support for an absolute monarchy, adding: ""Personally, Salvador Dali'm against freedom; Salvador Dali'm for the Holy Inquisition.""",Politics and personality,Politics and religion
1979,75,"When Salvador Dali was elected to the French Academy of Fine Arts in 1979, one of his fellow academicians stated that one of his fellow academicians hoped Salvador Dali would now abandon Salvador Dali's ""clowneries"".",Politics and personality,Personality
1968,64,Salvador Dali also appeared in numerous advertising campaigns such as Lanvin [fr] chocolates and Braniff International Airlines in 1968.,Politics and personality,Personality
2008,104,"Salvador Dali has been portrayed on film by Robert Pattinson in Little Ashes (2008), by Adrien Brody in Midnight in Paris (2011), and by Ben Kingsley in Daliland.",Legacy,
