year,age,event,category1,category2
1982,39,"After a period in private legal practice, John Kerry was elected Lieutenant Governor of Massachusetts in 1982.",summary,
1984,41,"In 1984, John Kerry was elected to the United States Senate.",summary,
1990,47,"John Kerry was reelected to additional terms in 1990, 1996, 2002 and John Kerry won the Democratic Party presidential nomination in 2004, alongside vice presidential nominee and North Carolina Senator John Edwards.",summary,
2009,66,"John Kerry remained in the United States Senate and chaired the Senate Committee on Foreign Relations from 2009 to 2013.In January 2013, John Kerry was nominated by Barack Obama to succeed Secretary of State Hillary Clinton, and was confirmed by John Kerry's Senate colleagues on a vote of 94 to 3.",summary,
1943,0,"John Kerry was born on December 11, 1943, at Fitzsimons Army Medical Center in Aurora, Colorado.",Early life and education (1943–1966),
1960,17,"In 1960, while at St. Paul's School in Concord, New Hampshire's, John Kerry played bass in a minor rock band called The Electras with six of John Kerry's classmates.",Early life and education (1943–1966),
1965,22,"In March 1965, as the Vietnam War escalated, John Kerry won the Ten Eyck prize as the best orator in the junior class for a speech that was critical of U.S. foreign policy.",Early life and education (1943–1966),
1966,23,"John Kerry began John Kerry's active duty military service on August 19, 1966.",Military service (1966–1970),Duty on USS Gridley
1966,23,"After completing 16 weeks of Officer Candidate School at the U.S. Naval Training Center in Newport, Rhode Island, John Kerry received John Kerry's officer's commission on December 16, 1966.",Military service (1966–1970),Duty on USS Gridley
1969,26,"Eight days later, on February 28, 1969, came the events for which John Kerry was awarded John Kerry's Silver Star Medal.",Military service (1966–1970),Military honors
1970,27,"On January 1, 1970, John Kerry was temporarily promoted to full lieutenant.",Military service (1966–1970),Return from Vietnam
1966,23,John Kerry was on active duty in Navy from August 1966 until January 1970.,Military service (1966–1970),Return from Vietnam
2000,57,"With the continuing controversy that had surrounded the military service of John Kerry since the 2000 presidential election (when John Kerry was accused of having used John Kerry's father's political influence to gain entrance to the Texas Air National Guard, thereby protecting John Kerry from conscription into the United States Army, and possible service in the Vietnam War), John Kerry's contrasting status as a decorated the Vietnam War veteran posed a problem for John Kerry's re-election campaign, which Republicans sought to counter by calling Kerry's war record into question.",Military service (1966–1970),"""Swiftboating"" controversy"
1970,27,"The remaining 10,891 votes were split amongst the other five candidates, with 1970 nominee Richard Williams coming last with just 1,706 votes (2.26%).In the Democratic primary race, John Kerry was initially favored to defeat the Republican candidate, former State Representative Paul W. Cronin, and conservative Democrat Roger P. Durkin, who ran as an Independent.",Early political career (1972–1985),1972 congressional election
1994,51,"John Kerry won re-election with 52 percent to Governor William Weld, a popular Republican incumbent who had been re-elected in 1994 with 71% of the vote's 45 percent.",U.S. Senate (1985–2013),Precursors to presidential bid
1997,54,"John Kerry supported the North American Free Trade Agreement and Most Favored Nation status for China, but opposed the Central American Free Trade Agreement.[citation needed]In July 1997",U.S. Senate (1985–2013),Voting record
1991,48,John Kerry chaired the Senate Select Committee on POW/MIA Affairs from 1991 to 1993.,U.S. Senate (1985–2013),Leadership
1990,47,"John Kerry was reelected to Senate in 1990, 1996 (after winning re-election against the then-Governor of Massachusetts Republican William Weld), 2002, and 2008.",U.S. Senate (1985–2013),Leadership
2011,68,"As a role model for campus leaders across the nation and strong advocate for global development, John Kerry was honored by the Millennium Campus Network (MCN) as a Global Generation Award winner in 2011.",U.S. Senate (1985–2013),Leadership
2004,61,"On July 6, 2004, John Kerry announced John Kerry's selection of Sen. John Edwards (D-North Carolina) as John Kerry's running mate.",2004 presidential campaign,
2004,61,"During John Kerry's bid to be elected president in 2004, John Kerry frequently criticized incumbent George W. Bush for starting the Iraq War.",2004 presidential campaign,
2004,61,"John Kerry's brother had said such a campaign was ""conceivable"", and John Kerry reportedly said at a farewell party for John Kerry's 2004 campaign staff, ""There's always another four years"".[0",Subsequent presidential-election activities,
2013,70,"John Kerry was sworn in as Secretary of State on February 1, 2013.While serving as the Secretary of State, John Kerry spoke in the French language on several occasions in John Kerry's official capacity.",Secretary of State (2013–2017),Tenure
2017,74,"John Kerry did not attend Donald Trump's's inauguration on January 20, 2017, and the following day took part in the 2017 Women's March in Washington, D.C.Kerry",Out of government (2017–2021),
2050,107,"John Kerry said the discussion was to include the fossil fuel industry, adding that the fossil fuel industry's targets set for 2050 were not sufficient.",Special Presidential Envoy for Climate,Climate cooperation with countries in the Middle east
2004,61,"Kerry's Jewish ancestry was publicly revealed during John Kerry's 2004 presidential campaign; John Kerry has stated that John Kerry was unaware of Kerry's Jewish ancestry until a reporter informed John Kerry of Kerry's Jewish ancestry in John Kerry's maternal ancestors were of Scottish and English descent, and John Kerry's maternal grandparents were James Grant Forbes II of the Forbes family and Margaret Tyndal Winthrop of the Dudley–Winthrop family.",Personal and family life,Ancestry
1970,27,"John Kerry was married to Julia Thorne in 1970, and they had two daughters together: documentary filmmaker Alexandra Kerry (born September 5, 1973) and physician Vanessa Kerry (born December 31, 1976).Alexandra",Personal and family life,Marriages and children
2004,61,"John Kerry also said that the Letters of Paul (Apostle Paul) moved John Kerry the most, stating that the Letters of Paul (Apostle Paul) taught John Kerry to ""not feel sorry for John Kerry.John Kerry told Christianity Today in October 2004:I'm a Catholic and John Kerry practice, but at the same time John Kerry have an open-mindedness to many other expressions of spirituality that come through different religions ...",Personal and family life,Religious beliefs
