year,age,event,category1,category2
1999,120,"In a 1999 poll of 130 leading physicists worldwide by the British journal Physics World, Albert Einstein was ranked the greatest physicist of all time.",summary,
1933,54,"In 1933, while Albert Einstein was visiting the United States, Adolf Hitler came to power in Germany.",summary,
1879,0,"Albert Einstein was born in Ulm, in the Kingdom of Württemberg in the German Empire, on 14 March 1879.",Life and career,"Childhood, youth and education"
1903,24,"A letter of Albert Einstein's that Albert Einstein wrote in September 1903 suggests that a daughter, Lieserl was either given up for adoption or died of scarlet fever in infancy.",Life and career,"Marriages, relationships and children"
1903,24,"His employers were pleased enough with Albert Einstein's work to make Albert Einstein's position permanent in 1903, although His employers did not think that Albert Einstein should be promoted until Albert Einstein had ""fully mastered machine technology"".",Life and career,1902–1909: Assistant at the Swiss Patent Office
1906,27,(Albert Einstein was formally awarded Albert Einstein's PhD on 15 January 1906.),Life and career,1900–1905: First scientific papers
1905,26,"Four other pieces of work that Albert Einstein completed in 1905—Albert Einstein's famous papers on the photoelectric effect, Brownian motion, Albert Einstein's special theory of relativity and the equivalence of mass and energy—have led to 1905's being celebrated as an annus mirabilis for physics almost as wonderful as 1666 (the year in which Isaac Newton experienced Isaac Newton's greatest epiphanies).",Life and career,1900–1905: First scientific papers
1913,34,"Albert Einstein duly joined the Prussian Academy of Sciences on 24July 1913, and moved into an apartment in the Berlin district of Dahlem on 1 April 1914.",Life and career,1908–1933: Early academic career
1922,43,"In 1922, Albert Einstein was awarded the 1921 Nobel Prize in Physics ""for Albert Einstein's services to Theoretical Physics, and especially for Albert Einstein's discovery of the law of the photoelectric effect"".",Life and career,1908–1933: Early academic career
1922,43,"1922, Albert Einstein was elected an International Honorary Member of the American Academy of Arts and Sciences.",Life and career,1908–1933: Early academic career
1921,42,"the California Institute of Technology supported Albert Einstein in Albert Einstein's wish that Albert Einstein should not be exposed to quite as much attention from the media as Albert Einstein had experienced when visiting the United States in 1921, and Albert Einstein therefore declined all the invitations to receive prizes or make speeches that Albert Einstein's admirers poured down upon Albert Einstein.",Life and career,1930–1931: Touring the US
1933,54,"While at American universities in early 1933, Albert Einstein undertook Albert Einstein's third two-month visiting professorship at the California Institute of Technology in Pasadena.",Life and career,1933: Emigration to the US
1933,54,"In April 1933, Albert Einstein discovered that Hitler's government had passed laws barring Jews from holding any official positions, including teaching at universities.",Life and career,1933: Emigration to the US
1933,54,"In late July 1933, Albert Einstein visited England for about six weeks at the invitation of the British Member of Parliament Commander Oliver Locker-Lampson, who had become friends with him in the preceding years.",Life and career,1933: Emigration to the US
1954,75,"In 1954, a year before Albert Einstein's death, Albert Einstein said to Albert Einstein's old friend, Linus Pauling, ""Albert Einstein made one great mistake in Albert Einstein's life—when Albert Einstein signed a letter, with Szilárd, to President Roosevelt, recommending the US pay attention and engage in its own nuclear weapons research; but there was some justification—the danger that the Germans would make atom bombs ...""",Life and career,1933: Emigration to the US
1951,72,"As part of Albert Einstein's involvement, Albert Einstein corresponded with civil rights activist W. E. B. Du Bois and was prepared to testify on civil rights activist W. E. B. Du Bois's behalf during civil rights activist W. E. B. Du Bois's trial in 1951.",Life and career,1933: Emigration to the US
1948,69,The state of Israel was established without Albert Einstein's help in 1948; Albert Einstein was limited to a marginal role in the Zionist movement.,Life and career,Personal views
1930,51,"In a letter in 1930 to Hermann Huth, vice-president of the German Vegetarian Federation (Deutsche Vegetarier-Bund), Albert Einstein wrote: Although Albert Einstein have been prevented by outward circumstances from observing a strictly vegetarian diet, Albert Einstein have long been an adherent to vegetarianism in principle.",Life and career,Personal views
2016,137,"Albert Einstein's was confirmed on 11 February 2016, when researchers at LIGO published the first observation of gravitational waves, detected on Earth on 14 September 2015, nearly one hundred years after predicted.",Scientific career,General relativity
1917,38,"In 1917, at the height of Albert Einstein's work on relativity, Albert Einstein published an article in Physikalische Zeitschrift that proposed the possibility of stimulated emission, the physical process that makes possible the maser and",Scientific career,Old quantum theory
1905,26,"Albert Einstein played a major role in developing quantum theory, beginning with Albert Einstein's 1905 paper on the photoelectric effect.",Scientific career,Quantum mechanics
