year,age,event,category1,category2
1978,31,Hillary Clinton was appointed the first female chair of Arkansas Advocates for Children and Families in 1978 and became the first woman partner at Little Rock's Rose Law Firm the following year.,summary,
2002,55,"Hillary Clinton supported the resolution authorizing the Iraq War in 2002, but opposed the surge of U.S. troops in 2007.",summary,
2011,64,"Hillary Clinton responded to the Arab Spring by advocating the 2011 military intervention in Libya, but was harshly criticized by Republicans for the failure to prevent or adequately respond to the 2012 Benghazi attack.",summary,
2020,73,"Since 2020, Hillary Clinton has served as the chancellor of the Queen's University Belfast.",summary,
1947,0,"Hillary Clinton was born on October 26, 1947, at Edgewater Hospital in Chicago, Illinois.",Early life and education,Early life
1961,14,"Hillary Clinton was inspired by U.S. efforts during the Space Race and sent a letter to NASA around 1961 asking what Hillary Clinton could do to become an astronaut, only to be informed that women were not being accepted into an astronaut.",Early life and education,Early life
1960,13,"Hillary Clinton was raised in a politically conservative household, and Hillary Clinton helped canvass Chicago, Illinois's South Side at age 13 after the very close 1960 U.S. presidential election.",Early life and education,Early life
2003,56,"In 2003, Hillary Clinton would write that Hillary Clinton's views concerning the civil rights movement and the Vietnam War were changing in Hillary Clinton's early college years.",Early life and education,Wellesley College years
1968,21,"In early 1968, Hillary Clinton was elected president of the Wellesley College Government Association, a position Hillary Clinton held until early 1969.",Early life and education,Wellesley College years
1973,26,"During Hillary Clinton's second year, Hillary Clinton worked at the Yale Child Study Center, learning about new research on early childhood brain development and working as a research assistant on the seminal work, Beyond the Best Interests of the Child (1973).",Early life and education,Yale Law School and postgraduate studies
1970,23,"In the summer of 1970, Hillary Clinton was awarded a grant to work at Marian Wright Edelman's's Washington Research Project, where Hillary Clinton was assigned to Senator Walter Mondale's Subcommittee on Migratory Labor.",Early life and education,Yale Law School and postgraduate studies
1970,23,Hillary Clinton was recruited by political advisor Anne Wexler to work on the 1970 campaign of Connecticut U.S. Senate candidate Joseph Duffey.,Early life and education,Yale Law School and postgraduate studies
1973,26,"Hillary Clinton received a Juris Doctor degree from Yale in 1973, having stayed on an extra year to be with Hillary Clinton.",Early life and education,Yale Law School and postgraduate studies
1979,32,"Hillary Clinton would hold that state's first lady for twelve nonconsecutive years (1979–81, 1983–92).","Marriage, family, legal career and first ladyship of Arkansas",Early Arkansas years
1983,36,"Hillary Clinton was named chair of the Arkansas Education Standards Committee in 1983, where worked to reform Arkansas's public education system.","Marriage, family, legal career and first ladyship of Arkansas",Later Arkansas years
1988,41,Hillary Clinton was twice named by The National Law Journal as one of the 100 most influential lawyers in America—in 1988 and 1991.,"Marriage, family, legal career and first ladyship of Arkansas",Later Arkansas years
1985,38,"In addition to Hillary Clinton's positions with nonprofit organizations, Hillary Clinton also held positions on the corporate board of directors of TCBY (1985–92), Wal-Mart Stores (1986–92) and Lafarge (1990–92).","Marriage, family, legal career and first ladyship of Arkansas",Later Arkansas years
1996,49,"In January 1996, Hillary Clinton went on a ten-city book tour and made numerous television appearances to promote the book It Takes a Village: And Other Lessons Children Teach Us, although Hillary Clinton was frequently hit with questions about Hillary Clinton's involvement in the Whitewater and Travelgate controversies.the book It Takes a Village: And Other Lessons Children Teach Us spent 18 weeks on the New York Times Best Seller List 1996, including three weeks at number one.",First Lady of the United States (1993–2001),It Takes a Village and other writings
1997,50,Hillary Clinton received the Grammy Award for Best Spoken Word Album in 1997 for the book It Takes a Village: And Other Lessons Children Teach Us's audio recording.,First Lady of the United States (1993–2001),It Takes a Village and other writings
1998,51,"When Hillary Clinton announced Hillary Clinton's retirement in November 1998, several prominent Democratic figures, including Representative Charles Rangel of New York's, urged Hillary Clinton to run for Hillary Clinton's open seat in the Senate election of 2000.",U.S. Senate (2001–2009),2000 U.S. Senate election
2001,54,"Hillary Clinton sat on five the Senate committees: Committee on Budget (2001–02), Committee on Armed Services (2003–09), Committee on Environment and Public Works (2001–09), Committee on Health, Education, Labor and Pensions (2001–09) and Special Committee on Aging.[0",U.S. Senate (2001–2009),First term
2005,58,"In late 2005, Hillary Clinton said that while immediate withdrawal from Iraq would be a mistake, Bush's pledge to stay ""until the job is done"" was also misguided, as Bush's pledge to stay ""until the job is done"" gave Iraqis ""an open-ended invitation not to take care of Iraqis"".",U.S. Senate (2001–2009),First term
2014,67,"By 2014 and 2015 Hillary Clinton had fully reversed Hillary Clinton on the October 2002 Iraq War Resolution, which authorized President George W. Bush to use military force against Iraq, saying Hillary Clinton ""got the October 2002 Iraq War Resolution, which authorized President George W. Bush to use military force against Iraq wrong"" and the vote in support had been a ""mistake"".Hillary Clinton",U.S. Senate (2001–2009),First term
2006,59,"Hillary Clinton won the general election on November 7, 2006, with 67 percent of the vote to Republican candidate John Spencer, a former mayor of Yonkers's 31 percent, carrying all but four of New York's sixty-two counties.",U.S. Senate (2001–2009),2006 reelection campaign
2007,60,"Regarding the high-profile, hotly debated immigration reform bill known as the Comprehensive Immigration Reform Act of 2007, Hillary Clinton cast several votes in support of the high-profile, hotly debated immigration reform bill known as the Comprehensive Immigration Reform Act of 2007.As the financial crisis of 2007–08 reached a peak with the liquidity crisis of September 2008, Hillary Clinton supported the proposed bailout of the U.S. financial system, voting in favor of the $700 billion law that created the Troubled Asset Relief Program, saying the Troubled Asset Relief Program represented the interests of the American people.",U.S. Senate (2001–2009),Second term
2009,62,"On January 21, 2009, Hillary Clinton was confirmed in the full Senate by a vote of 94–2.",Secretary of State (2009–2013),Nomination and confirmation
2011,64,"In December 2011, Hillary Clinton was hospitalized for a few days for treatment of a blood clot in her right transverse venous sinus.",Secretary of State (2009–2013),Tenure
2015,68,"As of 2015[update], Hillary Clinton was estimated to be worth over $30 million on Hillary Clinton's own, or $45–53 million with her husband.[0","Clinton Foundation, Hard Choices, and speeches",
2015,68,"On April 12, 2015, Hillary Clinton formally announced Hillary Clinton's candidacy for the presidency in the 2016 election.",2016 presidential campaign,
2012,65,"Prior to her campaign, Hillary Clinton had claimed in an interview on NDTV in May 2012 that Hillary Clinton would not seek the presidency again, but later wrote in Hillary Clinton's 2014 autobiography Hard Choices that Hillary Clinton had not decided.",2016 presidential campaign,
2019,72,"Hillary Clinton reiterated Hillary Clinton's comments in March 2019 and stated Hillary Clinton would not run for president in 2020.In May 2017, Hillary Clinton announced the formation of Onward Together, a new political action committee that Hillary Clinton wrote is ""dedicated to advancing the progressive vision that earned nearly 66 million votes in the presidential election"".",Post-2016 election activities,
2007,60,"While running for president in 2007, Hillary Clinton again reiterated Hillary Clinton's opposition to same-sex marriage, although expressed Hillary Clinton's support of civil unions.",Political positions,LGBT rights
