year,age,event,category1,category2,Name
1883,0,"John Maynard Keynes was born in Cambridge, England, in June 1883 to an upper-middle-class family.",Early life and education,,John Maynard Keynes
1894,11,"By 1894, John Maynard Keynes was top of John Maynard Keynes's class and excelling at mathematics.",Early life and education,,John Maynard Keynes
1897,14,"In 1897, John Maynard Keynes won a King's Scholarship to EtonJohn Maynard Keynes : in 1901, John Maynard Keynes was awarded the Tomline Prize for mathematics.",Early life and education,,John Maynard Keynes
1906,23,John Maynard Keynes took civil service exams in 1906.The,Early life and education,,John Maynard Keynes
1908,25,"John Maynard Keynes enjoyed John Maynard Keynes's work at first, but by 1908 had become bored and resigned John Maynard Keynes's position to return to Cambridge and work on probability theory, through a lectureship in economics at first funded personally by economists Alfred Marshall and Arthur Pigou; John Maynard Keynes became a fellow of King's College in 1909.By 1909 John Maynard Keynes had also published John Maynard Keynes's first professional economics article in The Economic Journal, about the effect of a recent global economic downturn on India.",Career,,John Maynard Keynes
1911,28,In 1911 John Maynard Keynes was made the editor of The Economic Journal.,Career,,John Maynard Keynes
1917,34,"In the 1917 King's Birthday Honours, John Maynard Keynes was appointed Companion of the Order of the Bath for John Maynard Keynes's wartime work, and John Maynard Keynes's success led to the appointment that had a huge effect on John Maynard Keynes's life and career; John Maynard Keynes was appointed financial representative for the Treasury to the 1919 Versailles peace conference.",Career,First World War,John Maynard Keynes
1933,50,", in 1933, John Maynard Keynes published The Means to Prosperity, which contained specific policy recommendations for tackling unemployment in a global recession, chiefly counter-cyclical public spending.",Career,During the Great Depression,John Maynard Keynes
1939,56,"John Maynard Keynes believed the classical theory was a ""special case"" that applied only to the particular conditions present in the 19th century, 1939.Keynes's magnum opus, The General Theory of Employment, Interest and Money being the general one.",Career,During the Great Depression,John Maynard Keynes
1939,56,"Yet John Maynard Keynes's were soon to achieve widespread acceptance, with eminent American professors such as Alvin Hansen agreeing with 1939.Keynes's magnum opus, The General Theory of Employment, Interest and Money before the outbreak of World War II.Keynes",Career,During the Great Depression,John Maynard Keynes
1942,59,"In June 1942, John Maynard Keynes was rewarded for John Maynard Keynes's service with a hereditary peerage in the King's Birthday Honours.",Career,Second World War,John Maynard Keynes
1944,61,"As the Allied victory began to look certain, John Maynard Keynes was heavily involved, as leader of the British delegation and chairman of the World Bank commission, in the mid-1944 negotiations that established the Bretton Woods system.",Career,Second World War,John Maynard Keynes
1921,38,"In 1921, John Maynard Keynes wrote that John Maynard Keynes had fallen ""very much in love"" with Lydia Lopokova, a well-known Russian ballerina and one of the stars of Sergei Diaghilev's Ballets Russes.",Personal life,Marriage,John Maynard Keynes
1930,47,"John Maynard Keynes understood the strategy however, but considered that in John Maynard Keynes's time the separation of the interest rates was not sufficient to pay for the costs of transporting the capital as gold, as John Maynard Keynes explained to the Macmillan Committee of 1930.",Personal life,Investments,John Maynard Keynes
1937,54,John Maynard Keynes served as director of the British Eugenics Society from 1937 to 1944.,Personal life,Political life,John Maynard Keynes
1919,36,"John Maynard Keynes's nephews include Richard Keynes (1919–2010), a physiologist, and Quentin Keynes (1921–2003), an adventurer and bibliophile.",Personal life,Death,John Maynard Keynes
